Aermacchi,Pods,Pods Porta Cañones 30 mm.  Mb 339 (2),48313,  1/48,10500,Foto,
Aermacchi,Set,Set Tanques puntera alar (2),48314,  1/48,10500,Foto,
Aermacchi,Intake,Intake MB-326 Italeri (2),48317,  1/48,5800,Foto,
Aermacchi,Intake,Intake MB-326 Frems (2),48319,  1/48,5800,Foto,
Douglas A-4,Tanques,Tanques externos Lanzables 300 Gal. (2 unid.),48410,  1/48,18000,Foto,
Douglas A-4,Tanques,Tanque externo Lanzable 400 Gal. (1 unid.),48412,  1/48,9500,Foto,
Douglas A-4,Nariz,Nariz A-4AR (hasegawa),48420,  1/48,7800,Foto,
Douglas A-4,Conversion,1/48 Set conversión A-4AR hasegawa (incl. rueda nariz),48425,  1/48,27000,Foto,
Douglas A-4,Conversion,Conversion Set TA4-J to OA4-AR(for Hasegawa) w/nose wheel,48426,  1/48,42000,Foto,
Douglas A-4,Conversion,1/48 Set conversión A-4AR HobbyBoss (incl. rueda nariz),48428,  1/48,27000,Foto,
Douglas A-4,Timon,Guias base Timones de Profundidad,48434,  1/48,4000,Foto,
Douglas A-4,Rueada,Rueda Delantera A-4 Hasegawa,48462,  1/48,3700,Foto,
Exocet,Misiles,Exocet + Pilón Lanzador,48610,  1/48,7300,Foto,
Matra,Misiles,Matra R-530 + Pilón lanzador,48611,  1/48,7100,Foto,
Matra,Misiles,Matra Magic R-550(2) + Lanzadores inclinados (2),48612,  1/48,12500,Foto,
Ters,Lanzadores,Ters 1/48 (triple Eyector Racks) Porta Bombas (por 2),48710,  1/48,11000,Foto,
Mers,Lanzadores,Mers 1/48 (multiple Eyector Racks) Porta Bombas,48711,  1/48,6800,Foto,
Tie-Down,,Carrier Tie-Down Puntos de amarre cub. Portaviones,48725,  1/48,8100,Foto,
Hercules C-130,Lanzador,Sistema Lanzador Bombas C-130 (TC68),48751,  1/48,29000,Foto,
Hercules C-130,Ruedas,C-130 Set de Ruedas (6),48770,  1/48,11000,Foto,
Hercules C-130,Capot,Capot Largo motores (1/48) C-130H,48790,  1/48,23000,Foto,
Hercules C-130,Capot,Capot Largo motores+Conos y Palas (1/48) C-130H,48792,  1/48,35500,Foto,
Bombas,Mk-17,Bombas Mk-17 1000lbs Esc 1/72 (4u.) ,72002,  1/72,7100,Ver Foto,
Bombas,Mk-17,Bombas Mk-17 500lbs Esc 1/72 (4u.) ,72003,  1/72,7100,Ver Foto,
Bombas,Snakeye,Snakeye 1/72 (4u.),72020,  1/72,7100,Ver Foto,
Bombas,Expal,BR-250 Esc 1/72  (4u.),72030,  1/72,7100,Ver Foto,
Bombas,Expal,BRP-250 Esc 1/72  (4u.),72031,  1/72,7100,Ver Foto,
Bombas,Expal,BRPS-250 Esc 1/72  (4u.),72032,  1/72,7100,Ver Foto,0.11
Bombas,Expal,BR-125 Esc 1/72  (4u.),72033,  1/72,7100,Ver Foto,0.67
Bombas,Expal,BRP-125 Esc 1/72  (4u.),72034,  1/72,7100,Ver Foto,
Bombas,Expal,BRPS-125 Esc 1/72  (4u.),72035,  1/72,7100,Ver Foto,
IA - 58 Pucará,Pilon,1/72 Pilón Central,72100,  1/72,4200,Foto,
IA - 58 Pucará,Tanque,Tanque Expulsable (drop Tank),72101,  1/72,4700,Foto,1.05
IA - 58 Pucará,Bombas,1/72 Bombas Napalm Usadas En Malvinas (3),72102,  1/72,5100,Foto,
IA - 58 Pucará,Coheteras,1/72 Coheteras Lau-61 C/a (4) Y Lanzadores Triples (2),72103,  1/72,13000,Foto,1.024
IA - 58 Pucará,Set,1/72 Set De Mejoras P/ Kit De Special Hobby O Airfix,72106,  1/72,17000,Foto,
IA - 58 Pucará,Ruedas,Set De Ruedas 1/72 Con Leve Aplastamiento X Peso,72107,  1/72,7300,Ver Foto,
Mirage CIII / V,Toberas,1/72 Tobera Salida Snecma Atar9c P/ Kit Heller,72200,  1/72,10500,Ver Foto,
Mirage CIII / V,Toberas,1/72 Tobera Salida Snecma Atar9c P/ Kit High Plane,72201,  1/72,10500,Ver Foto,
Mirage CIII / V,Narices,Nariz Dagger P/kit Esci/italeri,72220,  1/72,5900,Foto Nariz,
Mirage CIII / V,Narices,Nariz Dagger P/kit De Heller ,72221,  1/72,5900,Foto Nariz,
Mirage CIII / V,Narices,Nariz Dagger P/kit De Modelvit,72222,  1/72,5900,Foto Nariz,
Mirage CIII / V,Narices,Nariz Mara P/kit Esci/italeri,72225,  1/72,5900,Foto Mara,
Mirage CIII / V,Narices,Nariz Mara P/kit De Heller ,72226,  1/72,5900,Foto Mara,
Mirage CIII / V,Narices,Nariz Mara P/kit De Modelvit,72227,  1/72,5900,Foto Mara,
Mirage CIII / V,Tanques,Set De Tanques 1300lts (3)+pilones,72260,  1/72,17000,Tanq_1300,
Mirage CIII / V,Tanques,Set De Tanques 1700 Lts(2)+ Pilones,72261,  1/72,14600,Tanq_1700,
Mirage CIII / V,Lanzadores,1/72 Estaciones 3y5 Para Bombas (2),72280,  1/72,5100,Foto,
Mirage CIII / V,Lanzadores,Mirage 1/72 Lanzador de Bombas Doble Central,72281,  1/72,4300,Foto,
Mirage CIII / V,Ruedas,1/72 Set De Ruedas En Resina,72299,  1/72,6300,Ruedas,
Super Etendard,Tanque,Tanque ventral (c/pilón),72265,  1/72,6300,Foto,
Aermacchi,Coheteras,Coheteras Lau-10  Mb 326/339  (2),72300,  1/72,6800,Foto,
Aermacchi,Tanques,Tanques Sub-Alares  Mb 326/339 (2),72301,  1/72,6600,Foto,
Aermacchi,Pods,"Pods Porta Cañones 12,7 mm.  Mb 326 (2)",72302,  1/72,6800,Foto,
